release_id,archive_filename,workbook_row,road,variant_code,output_filename,register_name,visual_family,physical_prompt_label,variant_markings,source_type,source_asset,source_asset_sha256,assignment_rule,visual_review_scope,release_qualification,width,height,format,output_bytes,output_sha256,match_checklist,notes
COATES-K2-ROAD2-649-RETRACTION-RESOLVED-20260806-V2,Coates_K2_Road2_Retraction_Resolved_649_Thumbnails_001.zip,373,2,10MM12MMRATCHETRINGSPANNER,10MM12MMRATCHETRINGSPANNER.jpg,Ratchet Ring Spanner  10MM x 12MM,Spanner - ratchet ring | Metric,metric double-ended ratcheting ring spanner,10mm | 12mm,HOUSE_RENDER_FAMILY,production/family_assets/ratchet_ring_spanner.png,caa3b20c4815c06a0aeeae26432c57d1217a9ac81206d07e51505dea2c839393,ALL_ROWS,FAMILY_MASTER_REVIEWED_AND_CODE_MAPPED,APPROVED_FAMILY_RENDER,800,800,JPEG,81001,c3264b27bb335b533fde8dba540f9f8610edabfec9a8a0e44de8ebad81d283be,"Ratchet mechanism visible in the ring end; both stated sizes apply to its two ends ; stamped/labelled sizes readable: 10mm, 12mm ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price)",Family render; the catalogue code supplies the exact size/variant where the shared image does not visibly prove that marking.
COATES-K2-ROAD2-649-RETRACTION-RESOLVED-20260806-V2,Coates_K2_Road2_Retraction_Resolved_649_Thumbnails_001.zip,375,2,11MM13MMRATCHETRINGSPANNER,11MM13MMRATCHETRINGSPANNER.jpg,Ratchet Ring Spanner  11MM x 13MM,Spanner - ratchet ring | Metric,metric double-ended ratcheting ring spanner,11mm | 13mm,HOUSE_RENDER_FAMILY,production/family_assets/ratchet_ring_spanner.png,caa3b20c4815c06a0aeeae26432c57d1217a9ac81206d07e51505dea2c839393,ALL_ROWS,FAMILY_MASTER_REVIEWED_AND_CODE_MAPPED,APPROVED_FAMILY_RENDER,800,800,JPEG,81001,c3264b27bb335b533fde8dba540f9f8610edabfec9a8a0e44de8ebad81d283be,"Ratchet mechanism visible in the ring end; both stated sizes apply to its two ends ; stamped/labelled sizes readable: 11mm, 13mm ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price)",Family render; the catalogue code supplies the exact size/variant where the shared image does not visibly prove that marking.
COATES-K2-ROAD2-649-RETRACTION-RESOLVED-20260806-V2,Coates_K2_Road2_Retraction_Resolved_649_Thumbnails_001.zip,369,2,12916RATCHETRINGSPANNER,12916RATCHETRINGSPANNER.jpg,"Ratchet Ring Spanner  1/2"" x 9/16""",Spanner - ratchet ring | Imperial,imperial double-ended ratcheting ring spanner,"1/2"" | 9/16""",HOUSE_RENDER_FAMILY,production/family_assets/ratchet_ring_spanner.png,caa3b20c4815c06a0aeeae26432c57d1217a9ac81206d07e51505dea2c839393,ALL_ROWS,FAMILY_MASTER_REVIEWED_AND_CODE_MAPPED,APPROVED_FAMILY_RENDER,800,800,JPEG,81001,c3264b27bb335b533fde8dba540f9f8610edabfec9a8a0e44de8ebad81d283be,"Ratchet mechanism visible in the ring end; both stated sizes apply to its two ends ; stamped/labelled sizes readable: 1/2"", 9/16"" ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price)",Family render; the catalogue code supplies the exact size/variant where the shared image does not visibly prove that marking.
COATES-K2-ROAD2-649-RETRACTION-RESOLVED-20260806-V2,Coates_K2_Road2_Retraction_Resolved_649_Thumbnails_001.zip,229,2,12DRIVECROWSFEET27MM,12DRIVECROWSFEET27MM.jpg,"1/2"" Drive Crowsfeet-27MM",Crowsfoot socket | Drive 1/2in | Mixed,1/2-inch drive open-end crowsfoot socket,"1/2"" | 27mm",HOUSE_RENDER_FAMILY,production/family_assets/crowfoot_wrench.png,18b4239103656521642e595c710cfef699e0523eee43b69fded246f1c574ff5d,ALL_ROWS,FAMILY_MASTER_REVIEWED_AND_CODE_MAPPED,APPROVED_FAMILY_RENDER,800,800,JPEG,79953,d174a6468cd8b9d6fa4144e85e95050c6c0dc11be1ef3801041077ee00996a89,"Item type unmistakably matches the register name ; stamped/labelled sizes readable: 1/2"", 27mm ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price)",Family render; the catalogue code supplies the exact size/variant where the shared image does not visibly prove that marking.
COATES-K2-ROAD2-649-RETRACTION-RESOLVED-20260806-V2,Coates_K2_Road2_Retraction_Resolved_649_Thumbnails_001.zip,231,2,12DRIVECROWSFEET29MM,12DRIVECROWSFEET29MM.jpg,"1/2"" Drive Crowsfeet-29MM",Crowsfoot socket | Drive 1/2in | Mixed,1/2-inch drive open-end crowsfoot socket,"1/2"" | 29mm",HOUSE_RENDER_FAMILY,production/family_assets/crowfoot_wrench.png,18b4239103656521642e595c710cfef699e0523eee43b69fded246f1c574ff5d,ALL_ROWS,FAMILY_MASTER_REVIEWED_AND_CODE_MAPPED,APPROVED_FAMILY_RENDER,800,800,JPEG,79953,d174a6468cd8b9d6fa4144e85e95050c6c0dc11be1ef3801041077ee00996a89,"Item type unmistakably matches the register name ; stamped/labelled sizes readable: 1/2"", 29mm ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price)",Family render; the catalogue code supplies the exact size/variant where the shared image does not visibly prove that marking.
COATES-K2-ROAD2-649-RETRACTION-RESOLVED-20260806-V2,Coates_K2_Road2_Retraction_Resolved_649_Thumbnails_001.zip,233,2,12DRIVECROWSFEET30MM,12DRIVECROWSFEET30MM.jpg,"1/2"" Drive Crowsfeet-30MM",Crowsfoot socket | Drive 1/2in | Mixed,1/2-inch drive open-end crowsfoot socket,"1/2"" | 30mm",HOUSE_RENDER_FAMILY,production/family_assets/crowfoot_wrench.png,18b4239103656521642e595c710cfef699e0523eee43b69fded246f1c574ff5d,ALL_ROWS,FAMILY_MASTER_REVIEWED_AND_CODE_MAPPED,APPROVED_FAMILY_RENDER,800,800,JPEG,79953,d174a6468cd8b9d6fa4144e85e95050c6c0dc11be1ef3801041077ee00996a89,"Item type unmistakably matches the register name ; stamped/labelled sizes readable: 1/2"", 30mm ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price)",Family render; the catalogue code supplies the exact size/variant where the shared image does not visibly prove that marking.
COATES-K2-ROAD2-649-RETRACTION-RESOLVED-20260806-V2,Coates_K2_Road2_Retraction_Resolved_649_Thumbnails_001.zip,235,2,12DRIVECROWSFEET32MM,12DRIVECROWSFEET32MM.jpg,"1/2"" Drive Crowsfeet-32MM",Crowsfoot socket | Drive 1/2in | Mixed,1/2-inch drive open-end crowsfoot socket,"1/2"" | 32mm",HOUSE_RENDER_FAMILY,production/family_assets/crowfoot_wrench.png,18b4239103656521642e595c710cfef699e0523eee43b69fded246f1c574ff5d,ALL_ROWS,FAMILY_MASTER_REVIEWED_AND_CODE_MAPPED,APPROVED_FAMILY_RENDER,800,800,JPEG,79953,d174a6468cd8b9d6fa4144e85e95050c6c0dc11be1ef3801041077ee00996a89,"Item type unmistakably matches the register name ; stamped/labelled sizes readable: 1/2"", 32mm ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price)",Family render; the catalogue code supplies the exact size/variant where the shared image does not visibly prove that marking.
COATES-K2-ROAD2-649-RETRACTION-RESOLVED-20260806-V2,Coates_K2_Road2_Retraction_Resolved_649_Thumbnails_001.zip,237,2,12DRIVECROWSFEET33MM,12DRIVECROWSFEET33MM.jpg,"1/2"" Drive Crowsfeet-33MM",Crowsfoot socket | Drive 1/2in | Mixed,1/2-inch drive open-end crowsfoot socket,"1/2"" | 33mm",HOUSE_RENDER_FAMILY,production/family_assets/crowfoot_wrench.png,18b4239103656521642e595c710cfef699e0523eee43b69fded246f1c574ff5d,ALL_ROWS,FAMILY_MASTER_REVIEWED_AND_CODE_MAPPED,APPROVED_FAMILY_RENDER,800,800,JPEG,79953,d174a6468cd8b9d6fa4144e85e95050c6c0dc11be1ef3801041077ee00996a89,"Item type unmistakably matches the register name ; stamped/labelled sizes readable: 1/2"", 33mm ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price)",Family render; the catalogue code supplies the exact size/variant where the shared image does not visibly prove that marking.
COATES-K2-ROAD2-649-RETRACTION-RESOLVED-20260806-V2,Coates_K2_Road2_Retraction_Resolved_649_Thumbnails_001.zip,239,2,12DRIVECROWSFEET34MM,12DRIVECROWSFEET34MM.jpg,"1/2"" Drive Crowsfeet-34MM",Crowsfoot socket | Drive 1/2in | Mixed,1/2-inch drive open-end crowsfoot socket,"1/2"" | 34mm",HOUSE_RENDER_FAMILY,production/family_assets/crowfoot_wrench.png,18b4239103656521642e595c710cfef699e0523eee43b69fded246f1c574ff5d,ALL_ROWS,FAMILY_MASTER_REVIEWED_AND_CODE_MAPPED,APPROVED_FAMILY_RENDER,800,800,JPEG,79953,d174a6468cd8b9d6fa4144e85e95050c6c0dc11be1ef3801041077ee00996a89,"Item type unmistakably matches the register name ; stamped/labelled sizes readable: 1/2"", 34mm ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price)",Family render; the catalogue code supplies the exact size/variant where the shared image does not visibly prove that marking.
COATES-K2-ROAD2-649-RETRACTION-RESOLVED-20260806-V2,Coates_K2_Road2_Retraction_Resolved_649_Thumbnails_001.zip,241,2,12DRIVECROWSFEET35MM,12DRIVECROWSFEET35MM.jpg,"1/2"" Drive Crowsfeet-35MM",Crowsfoot socket | Drive 1/2in | Mixed,1/2-inch drive open-end crowsfoot socket,"1/2"" | 35mm",HOUSE_RENDER_FAMILY,production/family_assets/crowfoot_wrench.png,18b4239103656521642e595c710cfef699e0523eee43b69fded246f1c574ff5d,ALL_ROWS,FAMILY_MASTER_REVIEWED_AND_CODE_MAPPED,APPROVED_FAMILY_RENDER,800,800,JPEG,79953,d174a6468cd8b9d6fa4144e85e95050c6c0dc11be1ef3801041077ee00996a89,"Item type unmistakably matches the register name ; stamped/labelled sizes readable: 1/2"", 35mm ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price)",Family render; the catalogue code supplies the exact size/variant where the shared image does not visibly prove that marking.
